movie_name,male_mentions,male_total_centrality,male_avg_centrality,male_cast_count,female_mentions,female_total_centrality,female_avg_centrality,female_cast_count,mentions_ratio,centrality_ratio,cast_ratio,avg_centrality_diff
Aasoo Bane Angaarey,32.0,1881.5,8.634954797924973,4,65.0,4738.6,6.298218268519861,8,0.49230768473372793,0.39705820276092973,0.4999999375000079,2.336736529405112
Aastha: In the Prison of Spring,3.0,0.0,0.0,1,4.0,184.5,3.4166666666666665,1,0.7499998125000469,0.0,0.9999990000010001,-3.4166666666666665
Aatank,2.0,0.0,0.0,1,2.0,0.0,0.0,1,0.99999950000025,0.0,0.9999990000010001,0.0
Aatank Hi Aatank,27.0,606.8333333333333,2.138331999466453,7,9.0,1369.8333333333337,6.077653283535638,3,2.999999666666704,0.4429979312984561,2.3333325555558146,-3.939321284069185
Aatish: Feel the Fire,26.0,939.5,3.2843434343434343,3,2.0,204.0,5.828571428571428,1,12.99999350000325,4.605392134287293,2.9999970000030003,-2.544227994227994
Aazaan,20.0,352.3,0.7655303030303031,4,2.0,0.0,0.0,1,9.9999950000025,352300000.0,3.9999960000040002,0.7655303030303031
Ab Ke Baras,1.0,104.0,9.454545454545457,1,7.0,941.8333333333336,6.87469586374696,1,0.1428571224489825,0.11042293387674079,0.9999990000010001,2.5798495907984966
Ab Kya Hoga,5.0,167.0,1.0705128205128205,1,2.0,252.0,8.4,1,2.499998750000625,0.6626984100686572,0.9999990000010001,-7.32948717948718
Ab Tak Chhappan 2,84.0,1513.8333333333337,1.3265205812943297,4,4.0,0.0,0.0,1,20.99999475000131,1513833333.3333337,3.9999960000040002,1.3265205812943297
Ab Tumhare Hawale Watan Saathiyo,18.0,1544.0,3.684050355774494,5,1.0,0.0,0.0,1,17.999982000018,1544000000.0,4.999995000005001,3.684050355774494
Abdullah,34.0,1160.0,3.799495248409487,6,3.0,125.66666666666667,2.97008547008547,2,11.333329555556814,9.230769157314834,2.99999850000075,0.8294097783240169
Abhay,122.0,4842.0,3.379321131613152,5,29.0,2205.1666666666665,4.000421706943983,4,4.206896406658744,2.195752398671717,1.249999687500078,-0.6211005753308307
Abhimaan,0.0,66.0,0.7586206896551724,1,0.0,204.0,6.713414634146341,2,0.0,0.3235294101787774,0.499999750000125,-5.954793944491168
Abodh,15.0,354.4,3.6549175225645816,3,32.0,781.5000000000001,2.5872507122507127,3,0.468749985351563,0.4534868836167793,0.9999996666667778,1.067666810313869
Accident on Hill Road,7.0,322.83333333333337,7.507751937984497,1,7.0,34.0,0.6181818181818182,1,0.9999998571428775,9.495097759948107,0.9999990000010001,6.889570119802679
Achanak,15.0,213.58333333333334,0.9647619047619047,5,0.0,0.0,0.0,1,15000000.0,213583333.33333334,4.999995000005001,0.9647619047619047
Action Jackson,0.0,1602.6666666666667,4.044375887251619,7,0.0,1207.6666666666665,10.292622950819672,2,0.0,1.3270770069055395,3.499998250000875,-6.248247063568052
Action Replayy,58.0,1119.8333333333335,3.9518133422785446,5,37.0,1126.0,6.87752380952381,5,1.5675675252008778,0.9945233857360657,0.99999980000004,-2.925710467245265
Ada... A Way of Life,8.0,336.0833333333334,4.541666666666668,2,1.0,43.5,4.35,1,7.9999920000080005,7.7260534622363215,1.9999980000020001,0.1916666666666682
Adalat,16.0,349.0,2.7710001906941266,4,16.0,365.3333333333334,2.227642276422765,1,0.9999999375000038,0.9552919681880692,3.9999960000040002,0.5433579142713616
Adhikar,0.0,367.0,3.0202797202797202,2,0.0,295.08333333333326,3.978403218228799,2,0.0,1.2437164600608313,0.99999950000025,-0.9581234979490789
Adventures of Tarzan,10.0,256.0,2.6342857142857143,2,11.0,105.16666666666669,1.1685185185185183,1,0.9090908264462886,2.434231355617451,1.9999980000020001,1.465767195767196
Ae Dil Hai Mushkil,30.0,727.5,2.416943521594684,1,53.0,722.1666666666667,3.376363065927676,4,0.5660377251690996,1.0073851820807036,0.24999993750001562,-0.959419544332992
Aetbaar,0.0,4610.854761904762,3.429285614675608,6,0.0,1330.0833333333333,5.481167306871533,3,0.0,3.4665908841086432,1.9999993333335555,-2.051881692195925
Aflatoon,38.0,2753.583333333333,4.30234548167093,4,5.0,183.0,4.055232558139535,2,7.599998480000304,15.04690337861437,1.9999990000005,0.2471129235313949
Afsana Do Dilon Ka,7.0,125.0,2.6041666666666665,1,2.0,0.0,0.0,1,3.499998250000875,125000000.0,0.9999990000010001,2.6041666666666665
Agar Tum Na Hote,31.0,464.6666666666666,0.5750825082508251,2,43.0,3476.7690476190473,6.663567512918165,5,0.7209302157923206,0.13364898852031298,0.399999920000016,-6.088485004667341
